                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 3.9489,                 51.546,                 1.1332,                      0,                      0,                      0,                      0,                 4.5141,                 20.219,                 1.2155,             0.00010936,             0.00010936,             0.00010936
                     40,                 3.8863,                 48.271,                  1.183,                      0,                      0,                      0,                      0,                 4.3971,                  43.27,                 1.1169,             0.00010912,             0.00010912,             0.00010912
                     41,                 4.1164,                 44.514,                 1.2052,                      0,                      0,                      0,                      0,                 4.4144,                 29.359,                 1.1691,             0.00010889,             0.00010889,             0.00010889
                     42,                 4.0922,                 40.854,                 1.3321,                      0,                      0,                      0,                      0,                 4.1843,                 25.527,                 1.1465,             0.00010865,             0.00010865,             0.00010865
                     43,                 4.2965,                 45.264,                 1.1982,                      0,                      0,                      0,                      0,                 4.1834,                 15.819,                 1.1965,             0.00010842,             0.00010842,             0.00010842
                     44,                 4.4383,                 40.044,                 1.2857,                      0,                      0,                      0,                      0,                 4.5948,                 15.206,                 1.2309,             0.00010819,             0.00010819,             0.00010819
                     45,                 4.4435,                 36.584,                 1.2851,                      0,                      0,                      0,                      0,                 4.4668,                 17.215,                 1.2247,             0.00010795,             0.00010795,             0.00010795
                     46,                 4.4092,                 30.295,                 1.2617,                      0,                      0,                      0,                      0,                 4.3819,                 16.607,                 1.2162,             0.00010772,             0.00010772,             0.00010772
                     47,                 4.3639,                 31.381,                 1.2737,                      0,                      0,                      0,                      0,                 4.1753,                  17.66,                 1.1866,             0.00010749,             0.00010749,             0.00010749
                     48,                 4.2888,                 30.014,                 1.2589,                      0,                      0,                      0,                      0,                  4.284,                 15.257,                 1.2049,             0.00010725,             0.00010725,             0.00010725
                     49,                 4.3785,                 26.225,                 1.2488,                      0,                      0,                      0,                      0,                 4.2681,                  14.32,                 1.1951,             0.00010702,             0.00010702,             0.00010702
                     50,                 4.1868,                 24.956,                 1.2387,                      0,                      0,                      0,                      0,                 4.3427,                 14.553,                 1.1951,             0.00010679,             0.00010679,             0.00010679
                     51,                 4.2763,                 23.787,                 1.2526,                      0,                      0,                      0,                      0,                 4.4183,                 14.734,                 1.2107,             0.00010655,             0.00010655,             0.00010655
                     52,                 4.3842,                 22.009,                   1.27,                      0,                      0,                      0,                      0,                 4.4504,                 14.463,                   1.21,             0.00010632,             0.00010632,             0.00010632
                     53,                 4.2664,                 21.096,                 1.1943,                0.00238,                0.00431,                0.00121,                0.00048,                 4.3749,                 13.142,                 1.2041,             0.00010608,             0.00010608,             0.00010608
                     54,                 4.3312,                 18.537,                 1.2461,                0.00147,                0.09052,                 0.0015,                0.00032,                 4.3395,                 12.215,                  1.186,             0.00010585,             0.00010585,             0.00010585
                     55,                 4.2685,                 19.764,                 1.2239,                0.01023,                0.05172,                0.00584,                0.00124,                 4.5423,                 12.617,                 1.2089,             0.00010562,             0.00010562,             0.00010562
                     56,                 4.1889,                 15.722,                 1.2219,                0.00767,                0.14655,                0.00598,                0.00123,                 4.3685,                 10.346,                 1.1831,             0.00010538,             0.00010538,             0.00010538
                     57,                 4.2686,                 14.956,                 1.2388,                0.00867,                0.12931,                0.00586,                0.00115,                 4.3688,                 10.906,                 1.1888,             0.00010515,             0.00010515,             0.00010515
                     58,                 4.2093,                 13.555,                 1.2299,                0.00954,                 0.2069,                0.00887,                0.00188,                 4.0343,                 9.0833,                 1.1356,             0.00010492,             0.00010492,             0.00010492
                     59,                 4.1372,                 11.847,                   1.22,                0.04882,                0.03879,                0.00953,                0.00179,                 4.0614,                 8.7595,                 1.1439,             0.00010468,             0.00010468,             0.00010468
                     60,                 4.0517,                 10.729,                 1.1845,                0.05649,                0.07328,                0.01303,                0.00277,                 3.9615,                 8.3439,                 1.1137,             0.00010445,             0.00010445,             0.00010445
                     61,                 3.9642,                 9.9928,                 1.1702,                 0.0543,                0.06897,                0.02144,                0.00425,                 3.9064,                 8.1792,                 1.1091,             0.00010422,             0.00010422,             0.00010422
                     62,                 3.9948,                 10.273,                 1.1814,                0.12291,                0.11207,                0.04091,                0.00744,                 3.6209,                 7.3176,                 1.0854,             0.00010398,             0.00010398,             0.00010398
                     63,                  3.833,                 9.0516,                 1.1673,                0.11131,                0.10345,                0.04589,                0.01018,                 3.5173,                  7.227,                 1.0693,             0.00010375,             0.00010375,             0.00010375
                     64,                 3.7987,                 9.0652,                 1.1406,                0.13817,                 0.1681,                0.05873,                  0.011,                 3.4937,                 7.0571,                 1.0608,             0.00010351,             0.00010351,             0.00010351
                     65,                 3.7357,                 8.7421,                 1.1197,                0.11323,                0.13362,                0.05668,                0.01389,                 3.5951,                 6.9364,                 1.0692,             0.00010328,             0.00010328,             0.00010328
                     66,                 3.6623,                 8.4525,                    1.1,                0.14591,                0.18534,                0.07547,                0.01666,                 3.2792,                 6.6182,                 1.0457,             0.00010305,             0.00010305,             0.00010305
                     67,                 3.5262,                 8.2364,                 1.0884,                 0.1464,                0.22414,                0.07541,                0.01559,                 3.3435,                 6.6682,                 1.0445,             0.00010281,             0.00010281,             0.00010281
                     68,                 3.4497,                 8.3037,                 1.0943,                0.17327,                0.22224,                0.09509,                0.02147,                 3.2193,                 6.3846,                 1.0309,             0.00010258,             0.00010258,             0.00010258
                     69,                 3.5276,                 8.1302,                  1.081,                0.16276,                0.26724,                0.10896,                0.02554,                 3.2228,                 6.4653,                 1.0313,             0.00010235,             0.00010235,             0.00010235
                     70,                  3.412,                 7.6762,                 1.0575,                0.23859,                0.25862,                0.14242,                0.02951,                 3.1782,                 6.2358,                 1.0201,             0.00010211,             0.00010211,             0.00010211
                     71,                 3.4074,                 7.8619,                 1.0475,                0.18431,                0.25862,                0.12604,                0.03574,                 3.1012,                 6.0775,                 1.0164,             0.00010188,             0.00010188,             0.00010188
                     72,                 3.3692,                 7.4351,                 1.0469,                0.17633,                0.31466,                0.12346,                0.03094,                 3.0957,                 5.9778,                  1.006,             0.00010165,             0.00010165,             0.00010165
                     73,                 3.3274,                 7.5793,                 1.0455,                0.19763,                0.30172,                0.13246,                0.03076,                 3.1746,                 6.0628,                 1.0272,             0.00010141,             0.00010141,             0.00010141
                     74,                 3.3867,                 7.3007,                 1.0614,                0.20203,                0.29741,                0.15498,                0.03947,                 3.0979,                 5.9917,                 1.0007,             0.00010118,             0.00010118,             0.00010118
                     75,                 3.3877,                 7.3499,                 1.0574,                0.19402,                0.36638,                0.13624,                0.03084,                  3.114,                 5.9041,                 1.0034,             0.00010094,             0.00010094,             0.00010094
                     76,                 3.3033,                 7.1484,                 1.0425,                0.21939,                0.40948,                0.16395,                 0.0427,                  3.033,                 5.7216,                 0.9951,             0.00010071,             0.00010071,             0.00010071
                     77,                 3.2374,                  6.977,                 1.0523,                0.25039,                0.35345,                0.19617,                0.04998,                 2.9428,                 5.6687,                0.99549,             0.00010048,             0.00010048,             0.00010048
                     78,                 3.2562,                 7.0689,                 1.0174,                0.23729,                0.36207,                0.18711,                0.04862,                 2.9017,                 5.5631,                0.98414,             0.00010024,             0.00010024,             0.00010024
                     79,                 3.2032,                 6.8897,                  1.033,                0.26618,                0.35776,                 0.2184,                0.05308,                 2.9312,                 5.5302,                0.99162,             0.00010001,             0.00010001,             0.00010001
                     80,                 3.1857,                 6.8415,                 1.0245,                0.26864,                  0.375,                0.17761,                0.05022,                   3.02,                 5.5598,                0.99971,             9.9776e-05,             9.9776e-05,             9.9776e-05
                     81,                 3.1662,                 6.7218,                 1.0026,                0.28116,                0.37931,                0.22367,                0.06422,                 2.8146,                 5.4039,                0.96224,             9.9542e-05,             9.9542e-05,             9.9542e-05
                     82,                 3.1159,                 6.4615,                 1.0188,                0.26731,                0.37899,                0.20511,                0.05808,                 2.7775,                 5.3776,                0.96346,             9.9309e-05,             9.9309e-05,             9.9309e-05
                     83,                 3.2066,                 6.8767,                 1.0316,                0.29542,                0.33621,                0.22829,                0.06383,                 2.8232,                  5.383,                0.97405,             9.9075e-05,             9.9075e-05,             9.9075e-05
                     84,                 3.0441,                 6.4155,                 1.0289,                0.30049,                0.36638,                0.24097,                0.07073,                 2.7958,                 5.2992,                0.96428,             9.8842e-05,             9.8842e-05,             9.8842e-05
                     85,                 3.0603,                 6.3135,                0.99345,                0.31935,                0.34483,                0.26445,                0.08563,                 2.7767,                 5.2132,                0.95823,             9.8608e-05,             9.8608e-05,             9.8608e-05
                     86,                 3.0177,                  6.197,                 1.0013,                0.30786,                0.39655,                 0.2317,                0.06413,                 2.8286,                 5.3317,                0.96755,             9.8374e-05,             9.8374e-05,             9.8374e-05
                     87,                 3.0477,                  6.447,                 0.9992,                0.32717,                0.43534,                0.26046,                0.07858,                 2.7493,                 5.1295,                0.96495,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     88,                 3.0435,                 6.1385,                 0.9928,                  0.361,                0.43103,                0.29124,                0.08756,                 2.6455,                 5.0854,                0.94494,             9.7907e-05,             9.7907e-05,             9.7907e-05
                     89,                 3.0864,                 6.2103,                 1.0138,                0.32576,                0.40948,                0.26214,                 0.0763,                 2.7514,                 5.0355,                0.95436,             9.7673e-05,             9.7673e-05,             9.7673e-05
                     90,                 3.0495,                 6.2507,                 1.0089,                 0.3132,                0.40948,                0.25979,                0.07684,                 2.7721,                 5.0962,                0.96111,              9.744e-05,              9.744e-05,              9.744e-05
