the,the,DET,DT,det,xxx,True,True
alert,alert,ADJ,JJ,amod,xxxx,True,False
-,-,PUNCT,HYPH,punct,-,False,False
level,level,NOUN,NN,compound,xxxx,True,False
framework,framework,NOUN,NN,pobj,xxxx,True,False
on,on,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
basis,basis,NOUN,NN,pobj,xxxx,True,False
it,it,PRON,PRP,nsubj,xx,True,True
had,have,AUX,VBD,aux,xxx,True,True
seen,see,VERB,VBN,ccomp,xxxx,True,False
a,a,DET,DT,det,x,True,True
terrific,terrific,ADJ,JJ,amod,xxxx,True,False
response,response,NOUN,NN,dobj,xxxx,True,False
to,to,ADP,IN,prep,xx,True,True
vaccination,vaccination,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
",",PUNCT,``,punct,",False,False
We,we,PRON,PRP,nsubj,Xx,True,True
want,want,VERB,VBP,ccomp,xxxx,True,False
to,to,PART,TO,aux,xx,True,True
push,push,VERB,VB,xcomp,xxxx,True,False
on,on,ADP,RP,prt,xx,True,True
90,90,NUM,CD,nummod,dd,False,False
per,per,ADP,IN,compound,xxx,True,True
cent,cent,NOUN,NN,dobj,xxxx,True,False
plus,plus,CCONJ,CC,advmod,xxxx,True,False
,,,,PUNCT,,,punct,,,False,False
keep,keep,VERB,VBP,conj,xxxx,True,True
moving,move,VERB,VBG,xcomp,xxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
open,open,VERB,VB,conj,xxxx,True,False
up,up,ADP,RP,prt,xx,True,True
a,a,DET,DT,det,x,True,True
whole,whole,ADJ,JJ,amod,xxxx,True,True
range,range,NOUN,NN,dobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
options,option,NOUN,NNS,pobj,xxxx,True,False
for,for,ADP,IN,prep,xxx,True,True
ourselves,ourselves,PRON,PRP,pobj,xxxx,True,True
in,in,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
face,face,NOUN,NN,pobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
Delta,Delta,PROPN,NNP,pobj,Xxxxx,True,False
,,,,PUNCT,,,punct,,,False,False
",",PUNCT,'',punct,",False,False
Robertson,Robertson,PROPN,NNP,nsubj,Xxxxx,True,False
