                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 4.3125,                 59.662,                 1.1612,                 4.1403,                 64.258,                 1.1209,                      0,                      0,                      0,                      0,                 4.2968,                 30.967,                 1.1995,                 4.2576,                  33.68,                 1.2288,             0.00011239,             0.00011239,             0.00011239
                     27,                 4.2719,                 49.211,                  1.219,                  4.209,                 55.116,                 1.2284,                0.00049,                0.02155,                0.00025,                  4e-05,                 4.0538,                 26.754,                 1.1983,                 3.9987,                 28.956,                 1.2083,             0.00011216,             0.00011216,             0.00011216
                     28,                 4.6114,                 49.465,                 1.2247,                 4.5883,                 54.621,                 1.2125,                0.00056,                0.03879,                0.00031,                  6e-05,                   4.32,                 31.029,                 1.2284,                 4.0453,                 33.585,                 1.1497,             0.00011193,             0.00011193,             0.00011193
                     29,                 4.5099,                 42.654,                 1.2199,                  4.458,                 47.752,                 1.2014,                0.00051,                0.03017,                0.00027,                  6e-05,                 4.2942,                 36.716,                 1.1947,                 4.2846,                 41.921,                 1.2123,             0.00011169,             0.00011169,             0.00011169
                     30,                 4.5592,                 41.764,                 1.2702,                 4.5007,                 46.385,                 1.2397,                0.00033,                 0.0431,                0.00017,                  4e-05,                 4.0864,                   28.3,                 1.1717,                   4.08,                 31.993,                 1.1653,             0.00011146,             0.00011146,             0.00011146
                     31,                  4.543,                 39.465,                 1.2779,                 4.6007,                  44.97,                 1.2659,                0.00031,                0.05603,                0.00018,                  4e-05,                 4.1909,                 27.983,                 1.1675,                 4.1478,                 30.567,                 1.1491,             0.00011122,             0.00011122,             0.00011122
                     32,                 4.6985,                 42.384,                 1.2492,                 4.5037,                 46.266,                 1.1858,                0.00032,                0.06897,                0.00018,                  4e-05,                 4.2289,                 19.832,                 1.2345,                 4.2011,                 21.993,                 1.2364,             0.00011099,             0.00011099,             0.00011099
                     33,                 4.5718,                 41.696,                 1.2263,                 4.3928,                 44.352,                 1.2071,                0.00034,                 0.0819,                0.00019,                  4e-05,                 4.0496,                  19.13,                 1.2173,                 4.0755,                 21.365,                 1.2273,             0.00011076,             0.00011076,             0.00011076
                     34,                 4.6279,                 35.861,                 1.2736,                 4.5302,                 40.053,                 1.2713,                0.00042,                0.10776,                0.00025,                  5e-05,                 4.0553,                 17.244,                 1.2028,                 4.0182,                 18.522,                 1.2032,             0.00011052,             0.00011052,             0.00011052
                     35,                 4.4155,                 34.401,                 1.2458,                  4.383,                 37.411,                 1.2399,                0.00041,                0.10345,                0.00024,                  4e-05,                 4.0531,                 17.826,                  1.201,                 4.0496,                 19.018,                 1.1952,             0.00011029,             0.00011029,             0.00011029
                     36,                 4.4865,                 33.175,                 1.2357,                  4.465,                 36.448,                 1.2231,                0.00033,                0.07759,                0.00019,                  4e-05,                 4.3151,                  21.55,                 1.2088,                 4.2127,                  23.25,                 1.1794,             0.00011006,             0.00011006,             0.00011006
                     37,                 4.3976,                 29.068,                 1.2299,                 4.4251,                 31.959,                 1.2248,                0.00028,                0.06034,                0.00016,                  3e-05,                 4.2162,                 24.736,                 1.1687,                 4.1251,                 26.307,                 1.1499,             0.00010982,             0.00010982,             0.00010982
                     38,                 4.4295,                 28.042,                  1.245,                 4.3843,                 30.552,                 1.2347,                0.00034,                0.09052,                0.00019,                  4e-05,                  4.059,                 18.466,                 1.2222,                 4.1034,                 19.788,                   1.21,             0.00010959,             0.00010959,             0.00010959
                     39,                 4.3138,                 27.209,                 1.2586,                 4.3157,                 29.894,                 1.2436,                0.00033,                0.09052,                0.00019,                  4e-05,                 4.1566,                 16.806,                 1.2414,                 4.0923,                 17.987,                 1.2179,             0.00010936,             0.00010936,             0.00010936
                     40,                 4.3772,                 28.002,                 1.2506,                 4.3336,                 30.056,                 1.2239,                0.00035,                0.09483,                 0.0002,                  4e-05,                 4.0697,                 17.885,                 1.2162,                  3.997,                 18.709,                 1.1796,             0.00010912,             0.00010912,             0.00010912
                     41,                 4.2333,                 26.838,                 1.2314,                 4.2264,                 28.795,                  1.226,                0.00036,                0.09914,                0.00021,                  4e-05,                 4.0764,                 16.642,                 1.1923,                 3.9585,                 17.217,                 1.1775,             0.00010889,             0.00010889,             0.00010889
                     42,                  4.389,                  23.17,                  1.297,                 4.3528,                 25.599,                 1.2887,                0.00043,                0.12069,                0.00025,                  5e-05,                 4.0862,                 15.177,                 1.1976,                 3.9888,                 15.775,                 1.2036,             0.00010865,             0.00010865,             0.00010865
                     43,                 4.3985,                 23.691,                 1.2246,                 4.3469,                 25.528,                 1.2137,                0.00035,                0.09914,                0.00021,                  5e-05,                 4.0656,                  16.12,                 1.2139,                 3.9793,                 17.023,                 1.2125,             0.00010842,             0.00010842,             0.00010842
                     44,                 4.3432,                  23.43,                 1.2466,                 4.2718,                 25.224,                 1.2268,                0.00024,                0.06897,                0.00017,                  3e-05,                 4.0283,                 17.554,                 1.1659,                 3.9108,                 18.845,                 1.1446,             0.00010819,             0.00010819,             0.00010819
                     45,                 4.2718,                 23.772,                 1.2585,                 4.2332,                 25.461,                 1.2439,                0.00019,                0.05603,                0.00011,                  2e-05,                 4.1165,                 16.245,                 1.2089,                 3.9718,                 16.869,                 1.1674,             0.00010795,             0.00010795,             0.00010795
                     46,                 4.2473,                 19.793,                 1.2152,                 4.2216,                  20.92,                 1.2048,                0.00028,                 0.0819,                0.00016,                  2e-05,                 4.0763,                 14.523,                 1.1911,                 4.1218,                  15.46,                 1.1902,             0.00010772,             0.00010772,             0.00010772
                     47,                 4.2588,                 20.874,                 1.2187,                 4.1763,                 22.147,                 1.2001,                0.00025,                0.07328,                0.00014,                  3e-05,                 4.0964,                 16.011,                 1.2091,                 4.0949,                 16.718,                 1.2147,             0.00010749,             0.00010749,             0.00010749
                     48,                 4.1844,                 20.068,                 1.2192,                 4.1101,                 21.419,                    1.2,                0.00025,                0.07328,                0.00016,                  3e-05,                  4.172,                  14.51,                 1.2245,                 4.1047,                 15.077,                 1.2248,             0.00010725,             0.00010725,             0.00010725
                     49,                 4.3724,                 21.175,                 1.2323,                  4.307,                 22.569,                 1.2168,                0.00035,                0.10345,                0.00022,                  5e-05,                 4.2186,                 12.832,                 1.2062,                 4.1941,                 13.415,                 1.1983,             0.00010702,             0.00010702,             0.00010702
                     50,                 4.2487,                 19.421,                 1.2252,                 4.2223,                 20.657,                 1.2047,                0.00028,                 0.0819,                0.00017,                  3e-05,                 4.2378,                 13.562,                 1.1998,                 4.1678,                 14.126,                 1.1914,             0.00010679,             0.00010679,             0.00010679
                     51,                 4.2727,                 20.634,                  1.204,                 4.2001,                  21.86,                 1.1821,                0.00029,                0.08621,                0.00016,                  4e-05,                 4.1972,                 14.237,                 1.2125,                 4.2228,                 15.092,                 1.2323,             0.00010655,             0.00010655,             0.00010655
                     52,                 4.2799,                 19.642,                 1.2024,                 4.2355,                 20.778,                 1.1885,                0.00035,                0.10345,                 0.0002,                  5e-05,                 4.1485,                 13.264,                 1.1812,                   4.07,                   13.8,                 1.1639,             0.00010632,             0.00010632,             0.00010632
                     53,                 4.1404,                 18.938,                 1.1806,                   4.08,                   19.7,                 1.1706,                0.00053,                0.15948,                0.00033,                  7e-05,                 4.0213,                 12.096,                 1.1777,                 3.9339,                 12.393,                 1.1641,             0.00010608,             0.00010608,             0.00010608
                     54,                 4.2594,                 18.724,                 1.2206,                 4.1898,                 19.964,                 1.2014,                0.00042,                  0.125,                0.00048,                 0.0001,                 4.0141,                 11.823,                 1.1894,                 3.9306,                 12.075,                 1.1775,             0.00010585,             0.00010585,             0.00010585
                     55,                 4.2331,                 17.931,                 1.2206,                 4.1829,                 19.229,                 1.1974,                0.00038,                0.11207,                0.00025,                  4e-05,                 4.1886,                 14.079,                 1.2198,                 4.1536,                 14.358,                 1.2301,             0.00010562,             0.00010562,             0.00010562
                     56,                 4.2103,                 17.736,                 1.1968,                 4.1558,                 18.643,                 1.1785,                0.00063,                0.18966,                0.00126,                0.00018,                  4.133,                 11.885,                 1.1863,                 4.0124,                 12.375,                 1.1759,             0.00010538,             0.00010538,             0.00010538
                     57,                 4.1904,                 16.669,                 1.1902,                 4.1345,                 17.532,                 1.1756,                0.00058,                0.17241,                0.00102,                0.00023,                 4.1295,                 11.664,                 1.1847,                 4.0515,                 12.201,                 1.1662,             0.00010515,             0.00010515,             0.00010515
                     58,                 4.2851,                 16.619,                 1.2034,                 4.2423,                 17.619,                 1.1855,                0.00059,                0.16379,                0.00119,                0.00026,                 4.0968,                 11.062,                 1.1806,                 4.0607,                 11.512,                 1.1686,             0.00010492,             0.00010492,             0.00010492
                     59,                 4.1163,                  15.66,                 1.1859,                 4.0864,                  16.51,                  1.166,                0.00065,                0.18966,                0.00105,                0.00018,                 4.1084,                 10.877,                 1.2017,                 4.0466,                  11.12,                  1.201,             0.00010468,             0.00010468,             0.00010468
